Country/Region,Cars,Commercial vehicles,Total,% change
Argentina,108364,206423,314787,-325
Austria,158 400,21000,179400,88
Belgium,247020,38777,285797,-74
Brazil,2448490,496498,2944988,22
Canada,461370,1455215,1916585,-54
China,21360193,4360472,25720665,-75
Czech Rep.,1427563,6400,1433963,-06
Egypt,18500,0,18500,0
Finland,114785,0,114785,25
France,1675198,527262,2202460,-29
Germany,4661328,0,4661328,-9
Hungary,498158,0,498158,76
India,3623335,892682,4516017,-122
Indonesia,1045666,241182,1286848,-42
Iran,770000,51060,821060,-25
Italy,542007,373298,915305,-138
Japan,8328756,1355542,9684298,-05
Malaysia,534115,37517,571632,12
Morocco,360110,34542,394652,-18
Mexico,1382714,2604080,3986794,-28
Poland,434700,215164,649864,-15
Portugal,282142,63562,345704,174
Romania,490412,0,490412,29
Russia,1523594,196190,1719784,-28
Serbia,34985,130,35115,-378
Slovakia,1100000,0,1100000,06
Slovenia,199102,0,199102,-49
South Africa,348665,283318,631983,35
South Korea,3612587,338030,3950617,-19
Spain,2248019,574336,2822355,01
Taiwan,189549,61755,251304,-08
Thailand,795254,1218456,2013710,-71
Turkey,982642,478602,1461244,-57
Ukraine,6254,1011,7265,97
UK,1303135,78270,1381405,-139
USA,2512780,8367239,10880019,-37
Uzbekistan,271113,0,271113,229
Others,1048191,59652,1108503
Total,67149196,24637665,91786861,-52
